"ID"	,"REG_NO"	,"CORP_NAME"
"1366"	,"91320102748223714T"	,南京博艺喷印服务有限公司
"1147"	,"91320115608918530T"	,南京海兴印务有限公司
"1202"	,"91320800733187749C"	,江苏金格润科技有限公司
"1318"	,"91320100793731734H"	,合众创亚包装（南京）有限公司
"1210"	,"91320100726090703L"	,永丰余纸业（南京）有限公司
"1323"	,"913201157806733952"	,南京济丰包装纸业有限公司
"1106"	,"91320115716264896D"	,南京百花彩色印刷广告制作有限责任公司
"1100"	,"913201152497015587"	,南京新世纪联盟印务有限公司
"1075"	,"320114000023431"	,南京南海彩色印刷有限公司
"1076"	,"91320106135230284Q"	,南京紫藤制版印务中心
"1078"	,"9132011572455384XX"	,南京新创连环画册印刷有限公司
"1080"	,"91320100742390036C"	,南京时代传媒股份有限公司
"1082"	,"91320115733161194Q"	,南京天德印务有限公司
"1083"	,"9132011113536811X4"	,江苏大众新科技印刷有限公司
"1084"	,"913201111353534289"	,南京京新印刷有限公司
"1088"	,"91320116716292424G"	,南京新洲印刷有限公司
"1093"	,"91320104MA1M9E3D1T"	,南京凯德印刷有限公司
"1098"	,"91320111748221866E"	,南京捷迅印务有限公司
"1103"	,"913200114728353140H"	,南京碧峰印务有限公司
"1104"	,"91320114721705131A"	,南京汇文印刷有限责任公司
"1036"	,"91320100134901832L"	,南京北极印刷厂
"1034"	,"320191000011754"	,江苏鸿兴达邮政印刷有限公司
"1024"	,"913201007594791415"	,南京远能电力工程有限公司
"1050"	,"9132011672178268XP"	,江苏凤凰通达印刷有限公司
"1040"	,"12320100426090058L"	,金陵刻经处
"1017"	,"91320000134756102A"	,江苏竺桥印务有限公司
"1069"	,"91320000714087742W"	,江苏苏创信息服务中心有限公司
"1044"	,"913200006696232182"	,江苏奇尔特印刷有限公司
"1061"	,"91320115790436721Q"	,南京蓝空印务有限公司
"1046"	,"320000000011302"	,江苏恒飞彩色印刷有限公司
"1072"	,"91320000733145450R"	,江苏天旭印务有限公司
"1020"	,"913200001347557590"	,江苏河海印务有限公司
"1026"	,"91320000466005188R"	,江苏省地质测绘大队
"1032"	,"3201156606770"	,南京彩语印务有限公司
"1035"	,"91320100134871928F"	,南京玉河印刷厂有限公司
"1067"	,"32000000003693"	,南京苏卫印务有限公司
"1045"	,"91320115716284715U"	,南京爱德发展有限公司
"1014"	,"91320000678330273Y"	,江苏凤凰数码印务有限公司
"1027"	,"91320115608914353X"	,南京爱德印刷有限公司
"1051"	,"9132010672607923X4"	,南京展望文化发展有限公司
"1053"	,"913200006668322765"	,江苏教院印务有限公司
"1090"	,"91320116730583623Y"	,南京四彩印刷有限公司
"1101"	,"91320192777005281H"	,南京华众彩色印刷有限公司
"1109"	,"320105000028179"	,南京茂华彩色印务有限公司
"1108"	,"320121000012141"	,南京人文印务有限公司
"1102"	,"913201157217378114"	,南京顺和印刷有限责任公司
"1253"	,"320100400023903"	,爱邦（南京）包装印刷有限公司
"1369"	,"91320115571576580D"	,南京丁香花印刷有限公司
"1368"	,"91320115797108843H"	,南京互腾纸制品有限公司
"1377"	,"320100000110925"	,南京杏林印务有限公司
"1146"	,"91320106608922556T"	,南京新龙飞实业有限公司
"1381"	,"91320106724550657Q"	,南京斑点艺术品设计制作有限公司
"1384"	,"91320115134968930W"	,南京票据证券印刷有限公司
"1385"	,"913201061349000477"	,南京印刷制本厂有限公司
"1388"	,"320104000007507"	,南京宝中印务有限公司
"1389"	,"320121000201606140225"	,南京特种印刷有限公司
"1392"	,"91320113X089603644"	,南京栖霞江南彩色印刷厂
"1399"	,"320124600147134"	,南京市溧水区精益印刷厂
"1400"	,"32012460012789"	,溧水县立华印刷厂
"1401"	,"320124600084838"	,南京溧水县回峰印刷厂
"1402"	,"320124000000392"	,南京市溧水县新华印刷厂
"1406"	,"913201175980242843"	,南京汇洪印务有限公司
"1407"	,"320124600007570"	,溧水县康达印刷厂
"1408"	,"320124600000142"	,溧水县孔镇民发印刷厂
"1409"	,"320124600015908"	,溧水县永阳镇德润印刷厂
"1411"	,"320124600008626"	,南京市溧水区桂林印刷厂
"1128"	,"91320106721751533E"	,南京凯建文化发展有限公司
"1415"	,"91320117135781529U"	,南京市溧水区教育印刷有限公司
"1416"	,"91320117087733337E"	,南京佳乐印刷厂
"1418"	,"3201241600014042"	,南京市溧水明光印刷厂
"1419"	,"320124600006278"	,南京市乌山友谊印刷厂
"1420"	,"320124600016152"	,南京市溧水区星球印刷厂
"1205"	,"320124000022462"	,众兴包装印刷南京有限公司
